Year,Position,AlbumTitle,AlbumArtist,RoviAlbumID
2009,1,FEARLESS,Taylor Swift,MW0000813082
2009,2,I AM...SASHA FIERCE,Beyonce,
2009,3,DARK HORSE,Nickelback,MW0000801795
2009,4,TWILIGHT,Soundtrack,
2009,5,Soundtrack,Soundtrack,
2009,7,CIRCUS,Britney Spears,"MW0000802321
MW0001690662"
2009,8,808S & HEARTBREAK,Kanye West,MW0000802924
2009,9,THE FAME,Lady Gaga,MW0001327294
2009,10,RELAPSE,Eminem,MW0000811068
2009,11,THE E.N.D.,The Black Eyed Peas,
2009,12,ONLY BY THE NIGHT,Kings Of Leon,MW0000796939
2009,13,THE BLUEPRINT 3,Jay-Z,
2009,14,DAVID COOK,David Cook,MW0000803612
2009,15,THE FOUNDATION,Zac Brown Band,MW0000802939
2009,16,NOW 29,Various Artists,
2009,17,FUNHOUSE,Pink,
2009,18,INTUITION,Jamie Foxx,MW0000805186
2009,19,NO LINE ON THE HORIZON,U2,MW0000807738
2009,20,UNSTOPPABLE,Rascal Flatts,MW0000803257
2009,21,A DIFFERENT ME,Keyshia Cole,
2009,22,BIG WHISKEY AND THE GROOGRUX KING,Dave Matthews Band,
2009,23,BLACKSUMMERS'NIGHT,Maxwell,MW0000819444
2009,24,LOVE ON THE INSIDE,Sugarland,MW0000791734
2009,25,TAYLOR SWIFT,Taylor Swift,MW0000550301
2009,26,21ST CENTURY BREAKDOWN,Green Day,MW0000812729
2009,27,PAPER TRAIL,T.I.,MW0000796531
2009,28,LEARN TO LIVE,Darius Rucker,MW0000796006
2009,29,WE SING. WE DANCE. WE STEAL THINGS.,Jason Mraz,MW0000784600
2009,30,I LOOK TO YOU,Whitney Houston,"MW0000821474
MW0001388712"
2009,31,HIGH SCHOOL MUSICAL 3: SENIOR YEAR,Soundtrack,
2009,32,BLACK ICE,AC/DC,MW0000797626
2009,33,NOW 31,Various Artists,
2009,34,ALL I EVER WANTED,Kelly Clarkson,MW0000810037
2009,35,THE TIME OF OUR LIVES (EP),Miley Cyrus,MW0000700960
2009,36,THE FRAY,The Fray,
2009,37,WIDE OPEN,Jason Aldean,MW0000811744
2009,38,LEAVE THIS TOWN,Daughtry,MW0001753175
2009,39,NOW 30,Various Artists,
2009,40,VIVA LA VIDA OR DEATH AND ALL HIS FRIENDS,Coldplay,MW0000787235
2009,41,LADY ANTEBELLUM,Lady Antebellum,MW0000783928
2009,42,THE PROMISE,Il Divo,MW0000800774
2009,43,FREEDOM,Akon,MW0000802592
2009,44,MICHAEL JACKSON'S THIS IS IT (SOUNDTRACK),Michael Jackson,
2009,45,DAY & AGE,The Killers,MW0000799692
2009,46,ROCK N ROLL JESUS,Kid Rock,MW0000487628
2009,47,MAMMA MIA!,Soundtrack,
2009,48,DEFYING GRAVITY,Keith Urban,MW0000812276
2009,49,CRAZY LOVE,Michael Buble,
2009,50,THA CARTER III,Lil Wayne,MW0001952252
2009,51,THEATER OF THE MIND,Ludacris,MW0000798284
2009,52,ONE OF THE BOYS,Katy Perry,MW0000787236
2009,53,GREATEST HITS VOLUME 1,Rascal Flatts,
2009,54,THE SOUND OF MADNESS,Shinedown,MW0000788717
2009,55,"LINES, VINES AND TRYING TIMES",Jonas Brothers,
2009,56,CHINESE DEMOCRACY,Guns N' Roses,"MW0000802741
MW0001287551"
2009,57,AND WINTER CAME...,Enya,
2009,58,WORKING ON A DREAM,Bruce Springsteen,MW0000808288
2009,59,SCARS & SOUVENIRS,Theory Of A Deadman,MW0000497250
2009,60,DAVID ARCHULETA,David Archuleta,MW0000801436
2009,61,CARNIVAL RIDE,Carrie Underwood,MW0000497335
2009,62,DEATH MAGNETIC,Metallica,MW0000792030
2009,63,19,Adele,MW0000786424
2009,64,YEAR OF THE GENTLEMAN,Ne-Yo,MW0000787913
2009,65,HANNAH MONTANA 3,Soundtrack,
2009,66,THAT LONESOME SONG,Jamey Johnson,MW0000793221
2009,67,SWAN SONGS,Hollywood Undead,MW0000795611
2009,68,GREATEST HITS II,Kenny Chesney,MW0000815030
2009,69,IN A PERFECT WORLD...,Keri Hilson,MW0000799270
2009,70,WHEN THE WORLD COMES DOWN,The All-American Rejects,MW0000805150
2009,71,GOOD GIRL GONE BAD,Rihanna,MW0000573185
2009,72,LOVE V/S MONEY,The-Dream,
2009,73,THE POINT OF IT ALL,Anthony Hamilton,MW0000802320
2009,74,PLAY ON,Carrie Underwood,MW0001504919
2009,75,THE TWILIGHT SAGA: NEW MOON,Soundtrack,
2009,76,SOUL,Seal,
2009,77,BREAKOUT,Miley Cyrus,MW0000790148
2009,78,A LITTLE BIT LONGER,Jonas Brothers,MW0000792199
2009,79,TWANG,George Strait,MW0000823049
2009,80,JOY TO THE WORLD,Faith Hill,MW0000794569
2009,81,DEEPER THAN RAP,Rick Ross,MW0000812653
2009,82,FOLIE A DEUX,Fall Out Boy,
2009,83,AMERICAN SATURDAY NIGHT,Brad Paisley,MW0000820075
2009,84,LOVE IS THE ANSWER,Barbra Streisand,MW0000825212
2009,85,WOW HITS 2009: 30 OF THE YEAR'S TOP CHRISTIAN ARTISTS AND HITS,Various Artists,
2009,86,LOTUS FLOW3R/MPLSOUND/ELIX3R,Prince/Bria Valente,
2009,87,EVOLVER,John Legend,MW0000799573
2009,88,THR33 RINGZ,T-Pain,MW0000800934
2009,89,CHICKENFOOT,Chickenfoot,MW0000816483
2009,90,LUCKY OLD SUN,Kenny Chesney,MW0000798319
2009,91,BACKSPACER,Pearl Jam,MW0000823355
2009,92,QUIET NIGHTS,Diana Krall,MW0000805873
2009,93,TROUBADOUR,George Strait,MW0000495112
2009,94,SLUMDOG MILLIONAIRE,Soundtrack,
2009,95,DA REALIST,Plies,MW0000802944
2009,96,GOOD TIME,Alan Jackson,MW0000500667
2009,97,EPIPHANY,Chrisette Michele,"MW0000812618
MW0000816641"
2009,98,ONMYRADIO,Musiq Soulchild,MW0000802935
2009,99,THE LAST KISS,Jadakiss,MW0000803541
2009,100,ISOULJABOYTELLEM,Soulja Boy Tell'em,
2009,101,READY,Trey Songz,MW0000822332
2009,102,MEMOIRS OF AN IMPERFECT ANGEL,Mariah Carey,MW0000823776
2009,103,SPIRIT,Leona Lewis,MW0000581238
2009,104,JENNIFER HUDSON,Jennifer Hudson,MW0000797752
2009,105,TAKE IT TO THE LIMIT,Hinder,MW0000800954
2009,106,CRADLESONG,Rob Thomas,MW0000819047
2009,107,TOGETHER THROUGH LIFE,Bob Dylan,MW0000814310
2009,108,BREAKTHROUGH,Colbie Caillat,MW0000823303
2009,109,WANT,3OH!3,MW0000790730
2009,110,HERE WE GO AGAIN,Demi Lovato,MW0000822778
2009,111,CHRISTMAS DUETS,Elvis Presley,MW0000799719
2009,112,THE SOUND,Mary Mary,MW0000798685
