Year,Position,AlbumTitle,AlbumArtist,RoviAlbumID
2011,1,21,Adele,MW0002080092
2011,2,SPEAK NOW,Taylor Swift,"MW0002025410
MW0002395778"
2011,3,BORN THIS WAY,Lady Gaga,"MW0002132518
MW0002052689"
2011,4,MY KINDA PARTY,Jason Aldean,MW0002045181
2011,5,THE GIFT,Susan Boyle,MW0002053020
2011,6,THA CARTER IV,Lil Wayne,MW0002044358
2011,7,PINK FRIDAY,Nicki Minaj,MW0002030741
2011,8,SIGH NO MORE,Mumford & Sons,MW0001762194
2011,9,LOUD,Rihanna,MW0002049029
2011,10,TEENAGE DREAM,Katy Perry,MW0002011446
2011,11,MY BEAUTIFUL DARK TWISTED FANTASY,Kanye West,MW0002022752
2011,12,DOO-WOPS & HOOLIGANS,Bruno Mars,MW0002043948
2011,13,RECOVERY,Eminem,MW0001998774
2011,14,WATCH THE THRONE,Jay Z Kanye West,
2011,15,O HOLY NIGHT (EP),Jackie Evancho,
2011,16,BORN FREE,Kid Rock,MW0002029044
2011,17,NOTHING LIKE THIS,Rascal Flatts,MW0002029037
2011,18,MY WORLD 2.0,Justin Bieber,MW0001964538
2011,19,NEED YOU NOW,Lady Antebellum,"MW0001955061
MW0001954476"
2011,20,"""GLEE: THE MUSIC, THE CHRISTMAS ALBUM""",Soundtrack,
2011,21,4,Beyonce,
2011,22,GREATEST HITS... SO FAR!!!,P!nk,"MW0002062799
MW0002419907"
2011,23,YOU GET WHAT YOU GIVE,Zac Brown Band,MW0002024476
2011,24,ILLUMINATIONS,Josh Groban,MW0002053085
2011,25,OWN THE NIGHT,Lady Antebellum,MW0002191086
2011,26,F.A.M.E.,Chris Brown,MW0002109334
2011,27,THE BEGINNING,The Black Eyed Peas,MW0002074170
2011,28,NEVER SAY NEVER: THE REMIXES (EP),Justin Bieber,
2011,29,MY WORLDS ACOUSTIC,Justin Bieber,MW0002076557
2011,30,THE BAND PERRY,The Band Perry,"MW0001996439
MW0002066617"
2011,31,FEMME FATALE,Britney Spears,MW0002110484
2011,32,NOW 37,Various Artists,
2011,33,THE INCREDIBLE MACHINE,Sugarland,MW0002029051
2011,34,NOW 38,Various Artists,
2011,35,MYLO XYLOTO,Coldplay,MW0002206149
2011,36,GET CLOSER,Keith Urban,MW0002057219
2011,37,19,Adele,MW0000786424
2011,38,ROLLING PAPERS,Wiz Khalifa,MW0002110494
2011,39,WASTING LIGHT,Foo Fighters,MW0002115022
2011,40,"""GLEE, THE MUSIC: SEASON TWO: VOLUME 4""",Soundtrack,
2011,41,HELL: THE SEQUEL (EP),Bad Meets Evil,
2011,42,HEMINGWAY'S WHISKEY,Kenny Chesney,MW0002024482
2011,43,LOVE LETTER,R. Kelly,MW0002073514
2011,44,LUNGS,Florence + The Machine,MW0000823230
2011,45,DREAM WITH ME,Jackie Evancho,MW0002133132
2011,46,THIS IS COUNTRY MUSIC,Brad Paisley,"MW0002131236
MW0002101240"
2011,47,I AM NOT A HUMAN BEING,Lil Wayne,MW0002055358
2011,48,GREATEST HITS,Bon Jovi,
2011,49,DUETS II,Tony Bennett,
2011,50,BROTHERS,The Black Keys,MW0001983497
2011,51,NO MERCY,T.I.,"MW0002080057
MW0002613498"
2011,52,NOW 36,Various Artists,
2011,53,BURLESQUE,Soundtrack,
2011,54,MICHAEL,Michael Jackson,MW0002079107
2011,55,TORCHES,Foster The People,MW0002135149
2011,56,THE FAME,Lady Gaga,MW0001327294
2011,57,CLEAR AS DAY,Scotty McCreery,MW0002216456
2011,58,REVOLUTION,Miranda Lambert,MW0000825216
2011,59,LASERS,Lupe Fiasco,MW0002099977
2011,60,NUMBER ONE HITS,Tim McGraw,MW0002058726
2011,61,TAILGATES & TANLINES,Luke Bryan,MW0002165106
2011,62,HANDS ALL OVER,Maroon 5,MW0002022758
2011,63,BTR (SOUNDTRACK),Big Time Rush,
2011,64,NOW 39,Various Artists,
2011,65,TRON: LEGACY (SOUNDTRACK),Daft Punk,
2011,66,CHIEF,Eric Church,MW0002165105
2011,67,A YEAR WITHOUT RAIN,Selena Gomez & The Scene,"MW0002032626
MW0002207084"
2011,68,THE FOUNDATION,Zac Brown Band,MW0000802939
2011,69,CANNIBAL,Ke$ha,MW0002067045
2011,70,HELLO FEAR,Kirk Franklin,MW0002113001
2011,71,I'M WITH YOU,Red Hot Chili Peppers,MW0002168467
2011,72,RED RIVER BLUE,Blake Shelton,MW0002164920
2011,73,LOADED: THE BEST OF BLAKE SHELTON,Blake Shelton,MW0002060931
2011,74,I REMEMBER ME,Jennifer Hudson,MW0002110154
2011,75,COLE WORLD: THE SIDELINE STORY,J. Cole,MW0002195743
2011,76,WHEN THE SUN GOES DOWN,Selena Gomez & The Scene,MW0002152176
2011,77,LATE NIGHTS & EARLY MORNINGS,Marsha Ambrosius,MW0002058851
2011,78,THE LADY KILLER,Cee Lo Green,MW0002052848
2011,79,"""SAVE ME, SAN FRANCISCO""",Train,
2011,80,THE LIGHT OF THE SUN,Jill Scott,MW0002150336
2011,81,BEST NIGHT OF MY LIFE,Jamie Foxx,MW0001335427
2011,82,CHRISTMAS,Michael Buble,
2011,83,MY CHRISTMAS,Andrea Bocelli,MW0001347428
2011,84,MERRY CHRISTMAS II YOU,Mariah Carey,MW0002058734
2011,85,KIDZ BOP 19,Kidz Bop Kids,MW0002082747
2011,86,SONGS FOR JAPAN,Various Artists,MW0002132672
2011,87,LEMONADE MOUTH,Soundtrack,
2011,88,FEARLESS,Taylor Swift,MW0000813082
2011,89,AND IF OUR GOD IS FOR US...,Chris Tomlin,MW0002057205
2011,90,COUNTRY STRONG,Soundtrack,
2011,91,THANK ME LATER,Drake,MW0001996454
2011,92,HOT SAUCE COMMITTEE PART TWO,Beastie Boys,
2011,93,COME AROUND SUNDOWN,Kings Of Leon,MW0002030893
2011,94,UNDER THE MISTLETOE,Justin Bieber,MW0002232634
2011,95,ANIMAL,Ke$ha,MW0001950606
2011,96,CALLING ALL HEARTS,Keyshia Cole,MW0002082605
2011,97,THE SUBURBS,Arcade Fire,"MW0002010991
MW0002003366"
2011,98,ALL I WANT IS YOU,Miguel,"MW0002066164
MW0002069320"
2011,99,STRONGER,Sara Evans,MW0002095608
2011,100,BON IVER,Bon Iver,MW0002141165
2011,101,"""CHARLESTON, SC 1966""",Darius Rucker,
2011,102,JOURNEY'S GREATEST HITS,Journey,MW0000202354
2011,103,OUTLAWS LIKE ME,Justin Moore,MW0002136782
2011,104,"""PASSION, PAIN & PLEASURE""",Trey Songz,
2011,105,LIBRA SCALE,Ne-Yo,MW0002033205
2011,106,KIDZ BOP 20,Kidz Bop Kids,MW0002157359
2011,107,A THOUSAND SUNS,Linkin Park,MW0002023497
2011,108,MY WORLD (EP),Justin Bieber,
2011,109,WOW HITS 2011,Various Artists,MW0002036480
2011,110,"""GLEE: THE MUSIC, SEASON TWO: VOLUME 5""",Soundtrack,
2011,111,PAPER AIRPLANE,Alison Krauss + Union Station,
2011,112,NO BOYS ALLOWED,Keri Hilson,MW0002074779
2011,113,ENJOY YOURSELF,Billy Currington,MW0002032621
2011,114,THE E.N.D.,The Black Eyed Peas,
