Year,Position,AlbumTitle,AlbumArtist,RoviAlbumID
2013,1,THE 20/20 EXPERIENCE,Justin Timberlake,
2013,2,RED,Taylor Swift,"MW0002414735
MW0002543275"
2013,3,TAKE ME HOME,One Direction,MW0002418914
2013,4,UNORTHODOX JUKEBOX,Bruno Mars,MW0002438815
2013,5,BABEL,Mumford & Sons,"MW0002409657
MW0002557184"
2013,6,NIGHT VISIONS,Imagine Dragons,Imagine Dragons
2013,7,HERE'S TO THE GOOD TIMES,Florida Georgia Line,
2013,8,THE TRUTH ABOUT LOVE,P!nk,"MW0002404511
MW0002460727"
2013,9,CRASH MY PARTY,Luke Bryan,MW0002532581
2013,10,UNAPOLOGETIC,Rihanna,MW0002439379
2013,11,NOTHING WAS THE SAME,Drake,MW0002572983
2013,12,MAGNA CARTA... HOLY GRAIL,Jay Z,
2013,13,THE LUMINEERS,The Lumineers,MW0002311695
2013,14,THE WORLD FROM THE SIDE OF THE MOON,Phillip Phillips,MW0002436191
2013,15,THE HEIST,Macklemore & Ryan Lewis,MW0002419235
2013,16,THE MARSHALL MATHERS LP 2,Eminem,MW0002583498
2013,17,BASED ON A TRUE STORY ...,Blake Shelton,
2013,18,NIGHT TRAIN,Jason Aldean,MW0002412314
2013,19,RANDOM ACCESS MEMORIES,Daft Punk,MW0002521619
2013,20,PITCH PERFECT,Soundtrack,
2013,21,21,Adele,MW0002080092
2013,22,OVEREXPOSED,Maroon 5,MW0002358095
2013,23,SOME NIGHTS,fun.,"MW0002287703
MW0002553354
MW0002669426"
2013,24,"GOOD KID, M.A.A.D CITY",Kendrick Lamar,
2013,25,GIRL ON FIRE,Alicia Keys,"MW0002419336
MW0002422825"
2013,26,"MERRY CHRISTMAS, BABY",Rod Stewart,
2013,27,HUNTER HAYES,Hunter Hayes,MW0002223518
2013,28,TO BE LOVED,Michael Buble,
2013,29,TORNADO,Little Big Town,MW0002410614
2013,30,LES MISERABLES,Soundtrack,
2013,31,BLOWN AWAY,Carrie Underwood,MW0002332213
2013,32,NOW 44,Various Artists,
2013,33,TAILGATES & TANLINES,Luke Bryan,MW0002165106
2013,34,BORN SINNER,J. Cole,MW0002547914
2013,35,CHRISTMAS,Michael Buble,
2013,36,BLURRED LINES,Robin Thicke,MW0002518827
